study_id,table_id,column_id,of_variable,is_type,with_entry,information_from,has_status,note
ISCN3,--,--,version,value,ISCN 1-1 (2015-12-10),metadata,alpha,
ISCN3,--,--,url,value,https://portal.edirepository.org/nis/mapbrowse?scope=edi&identifier=1160&revision=1,metadata,alpha,
ISCN3,layer,--,download_url,value,https://portal.edirepository.org/nis/dataviewer?packageid=edi.1160.1&entityid=4af719a84f8981fcc63f1f92760cb253,metadata,alpha,
ISCN3,layer,--,--,description,This holds the measurements associated with a specific depth interval,metadata,alpha,
ISCN3,layer,ISCN 1-1 (2015-12-10),--,description,Version of the processed dataset,metadata,alpha,
ISCN3,layer,ISCN 1-1 (2015-12-10),--,empty,--,metadata,alpha,
ISCN3,layer,dataset_name_sub,data_source,description,"dataset name assocated with data submitter, links to dataset_name in other tables; identify colume",metadata,alpha,
ISCN3,layer,dataset_name_sub,data_source,identifier,--,metadata,alpha,
ISCN3,layer,lat (dec. deg),latitude,description,"latitude details of the location in the data contribution; ranging from (-90, 90)",metadata,alpha,
ISCN3,layer,lat (dec. deg),latitude,unit,decimal degree,metadata,alpha,
ISCN3,layer,lat (dec. deg),latitude,value,--,metadata,alpha,
ISCN3,layer,long (dec. deg),longitude,description,"longitude details of the location in the data contribution; ranging (-180, 180)",metadata,alpha,
ISCN3,layer,long (dec. deg),longitude,unit,decimal degree,metadata,alpha,
ISCN3,layer,long (dec. deg),longitude,value,--,metadata,alpha,
ISCN3,layer,datum (datum),latitude,description,A standard model of the earth that is used in horizontal mapping,metadata,alpha,
ISCN3,layer,datum (datum),latitude,control_vocabulary,horizontal_datum,metadata,alpha,
ISCN3,layer,datum (datum),latitude,method,--,metadata,revisit,could be a unit? not sure if a datum is a method or unit
ISCN3,layer,datum (datum),longitude,description,A standard model of the earth that is used in horizontal mapping,metadata,alpha,
ISCN3,layer,datum (datum),longitude,control_vocabulary,horizontal_datum,metadata,alpha,
ISCN3,layer,datum (datum),longitude,method,--,metadata,revisit,could be a unit? not sure if a datum is a method or unit
ISCN3,layer,state (state_province),state,description,name of the adminstrative unit one level below country organization,metadata,alpha,
ISCN3,layer,state (state_province),state,value,--,metadata,revisit,ideally this should have a control vocabulary but we'll come back to this later
ISCN3,layer,country (country),country,description,name of the country or nation state,metadata,alpha,
ISCN3,layer,country (country),country,value,--,metadata,alpha,treating as a free text for now because countries are complicated
ISCN3,layer,site_name,site,description,site name; identifier column,metadata,alpha,
ISCN3,layer,site_name,site,identifier,--,metadata,alpha,
ISCN3,layer,profile_name,profile,description,Profile/Plot Name; identifier column,metadata,alpha,
ISCN3,layer,profile_name,profile,identifier,--,metadata,alpha,
ISCN3,layer,observation_date (YYYY-MM-DD),layer_observation_time,description,Observation date,metadata,alpha,
ISCN3,layer,observation_date (YYYY-MM-DD),layer_observation_time,unit,Exported Excel date object; days since 1899-12-31,metadata,alpha,
ISCN3,layer,observation_date (YYYY-MM-DD),layer_observation_time,value,--,metadata,alpha,
ISCN3,layer,layer_name,layer,description,Layer name,metadata,alpha,
ISCN3,layer,layer_name,layer,identifier,--,metadata,alpha,
ISCN3,layer,layer_top (cm),upper_depth_bound,description,"Layer top; depth from surface of the top of the boundary, positive is down",metadata,alpha,
ISCN3,layer,layer_top (cm),upper_depth_bound,identifier,--,metadata,,
ISCN3,layer,layer_top (cm),upper_depth_bound,unit,cm,metadata,alpha,
ISCN3,layer,layer_top (cm),upper_depth_bound,value,--,metadata,alpha,
ISCN3,layer,layer_bot (cm),lower_depth_bound,description,"Layer Bottom; depth from surface to bottom of the boundrary, positive is down",metadata,alpha,
ISCN3,layer,layer_bot (cm),lower_depth_bound,identifier,--,,,
ISCN3,layer,layer_bot (cm),lower_depth_bound,unit,cm,metadata,alpha,
ISCN3,layer,layer_bot (cm),lower_depth_bound,value,--,metadata,alpha,
